figure	panel	claim_supported	plot_type	statistics	source_data_file	n_rows	columns
figure1	A	Spatial omics produces multiple claim types that require different controls.	taxonomy cards	descriptive taxonomy	figures/source_data/figure1_A_claim_types.tsv	5	claim_type,example,major_failure_mode
figure1	B	Without matched controls, spatial claims can reflect nuisance structure.	ranked horizontal bar	risk score is schematic scale	figures/source_data/figure1_B_failure_modes.tsv	4	failure_mode,risk_score
figure1	C	SNRA workflow links manifest inputs to certificate outputs.	layered workflow schematic	not applicable	figures/source_data/figure1_C_workflow.tsv	4	module,role
figure1	D	Audit reports make spatial claims traceable.	report structure schematic	not applicable	figures/source_data/figure1_D_audit_report_structure.tsv	4	audit_report_section,content
figure1	E	SNRA separates robust from non-robust spatial interpretations.	two-outcome certificate comparison	certificate rate threshold=0.7	figures/source_data/figure1_E_robust_vs_nonrobust.tsv	2	claim,status,certificate_rate
figure1	F	The claim ledger records accepted and blocked statements.	stacked status bar	status counts	figures/source_data/figure1_F_ledger_status.tsv	4	status,rows
figure2	A	Different claim classes require different matched controls.	binary control taxonomy heatmap	required=1	figures/source_data/figure2_A_control_taxonomy_grid.tsv	6	claim_type,label,abundance,region,degree,FOV/block,distance
figure2	B	Matched controls preserve nuisance while breaking the target claim.	preserve-break matrix	descriptive	figures/source_data/figure2_B_preserve_break_table.tsv	4	control,preserves,breaks
figure2	C	An abundance-matched control preserves label frequency but breaks the spatial niche.	spatial scatter	same composition as observed	figures/source_data/figure2_C_abundance_matched_control.tsv	900	x,y,label,simulation
figure2	D	A region-matched control preserves tissue coarse structure.	spatial region scatter	same coarse region	figures/source_data/figure2_D_region_matched_control.tsv	900	x,y,label,simulation,region
figure2	E	A graph-degree-matched control preserves local graph sampling bias.	degree distribution line plot	distribution overlay	figures/source_data/figure2_E_degree_matched_control.tsv	12	degree,observed_count,matched_null_count
figure2	F	Robustness score compares observed signal against the matched-null tail.	equation and mini bar	score=(observed-null_q95)/null_sd	figures/source_data/figure2_F_robustness_score.tsv	4	component,value
figure3	A	The benchmark includes a simulated tissue with a known true niche.	spatial scatter	known planted niche	figures/source_data/figure3_A_simulated_true_niche.tsv	900	x,y,label,simulation
figure3	B	The null tissue preserves label abundance but breaks spatial organization.	spatial scatter	composition matched	figures/source_data/figure3_B_composition_matched_null_tissue.tsv	900	x,y,label,simulation
figure3	C	Strict matched controls block positive calls under known null and confounded-null scenarios.	paired dot plot	candidate-claim positive rate	figures/source_data/figure3_C_false_positive_rate.tsv	8	scenario,confounder_strength,method,positive_rate
figure3	D	The internal audit score separates planted signal from pure-null labels before strict nuisance gating.	overlaid density histogram	threshold based on calibration split	figures/source_data/figure3_D_matched_control_calibration.tsv	24	audit_score_pure_null,audit_score_planted_sample
figure3	E	Synthetic and semi-synthetic truth labels show retained sensitivity and null specificity after strict certification.	scenario-level dot plot	bootstrap CI in benchmark summary	figures/source_data/figure3_E_sensitivity_specificity.tsv	7	scenario,truth_status,ci_low,ci_high,metric,value
figure3	F	The strict certificate preserves planted positives while suppressing confounded-null certificates.	stress-test heatmap	benchmark rates	figures/source_data/figure3_F_stress_summary_heatmap.tsv	7	stress_mode,observed_positive_rate,certificate_rate,false_positive_rate,sensitivity
figure4	A	Real-data benchmarks span cell-level imaging, spot-level ST and CosMx stress data.	platform overview bubble plot	descriptive	figures/source_data/figure4_A_dataset_platform_overview.tsv	4	dataset,platform,spatial_unit,samples_or_fovs,spatial_units,certificate_rate
figure4	B	Performance is summarized across available spatial technologies.	cross-platform certificate bar	certificate rate	figures/source_data/figure4_B_performance_by_available_platform.tsv	4	dataset,platform,spatial_unit,samples_or_fovs,spatial_units,certificate_rate
figure4	C	Robust claim rate varies by platform and evidence type.	forest/rate plot	certificate threshold=0.7	figures/source_data/figure4_C_robust_claim_rate.tsv	4	dataset,certificate_rate
figure4	D	Matched controls expose package endpoint false-positive leakage.	observed-minus-null margin heatmap	observed positive rate - max null rate	figures/source_data/figure4_D_false_positive_reduction.tsv	6	dataset,tool,observed_positive_call_rate,max_negative_control_positive_call_rate,min_negative_control_positive_call_rate,failed_rows,verdict,false_positive_reduction
figure4	E	Runtime and memory scale approximately with spatial-unit count in the audit workflow.	dual scaling line plot	benchmark-style synthetic/profiling summary	figures/source_data/figure4_E_runtime_memory_scaling.tsv	7	spatial_units,runtime_seconds,memory_gb
figure4	F	Summary ranking is by claim certificate, not global package superiority.	sorted certificate rank	certificate rate	figures/source_data/figure4_F_benchmark_summary_ranking.tsv	4	dataset,platform,spatial_unit,samples_or_fovs,spatial_units,certificate_rate,verdict
figure5	A	A cell-level tissue map provides spatial context for the case study.	spatial cell scatter	sampled TONIC coordinates	figures/source_data/figure5_A_tonic_tissue_map.tsv	4500	sample_id,x,y,cell_type,niche_label
figure5	B	A broad uncalibrated claim remains high under phenotype-preserving controls.	observed-vs-null line plot	certificate rate comparison	figures/source_data/figure5_B_uncalibrated_niche_claim.tsv	2	cell_cap,observed,matched_null
figure5	C	Matched negative-control rates collapse for the rescued lineage-boundary claim.	paired point/null distribution	observed and null certificate rates	figures/source_data/figure5_C_matched_negative_control_distribution.tsv	4	observed,within_sample_null,within_fine_type_null
figure5	D	Rescued lineage-boundary claims exceed the certificate threshold with uncertainty.	forest plot with CI	Wilson 95% CI	figures/source_data/figure5_D_robustness_score_ci.tsv	4	evidence_layer,dataset,task,control_or_metric,success_rows,total_rows,rate,ci95_low,ci95_high,interpretation
figure5	E	The BCC morphology claim is rejected by the FOV-block control.	null ladder pass-rate bar	pass threshold=0.7	figures/source_data/figure5_E_surviving_or_rejected_claim.tsv	3	control,audit_rows,pass_rows,pass_rate,mean_observed,mean_null,mean_null_q95,mean_effective_changed_fraction
figure5	F	SNRA converts broad interpretations into narrower defensible language.	manuscript language cards	claim language audit	figures/source_data/figure5_F_corrected_biological_interpretation.tsv	3	stage,interpretation,status
figure6	A	SNRA exposes a simple manifest-driven CLI/API workflow.	CLI workflow schematic	not applicable	figures/source_data/figure6_A_cli_api_workflow.tsv	4	command,output
figure6	B	The input-output schema is explicit and source-data backed.	schema cards	not applicable	figures/source_data/figure6_B_input_output_schema.tsv	4	object,required_fields
figure6	C	Audit cards expose the evidence and the allowed claim language.	audit report mockup	not applicable	figures/source_data/figure6_C_audit_report_example.tsv	4	field,example_value
figure6	D	Runtime and memory are reported as reproducibility metadata.	dual-axis scaling line plot	log-log scaling	figures/source_data/figure6_D_runtime_memory_scaling.tsv	7	spatial_units,runtime_s,memory_gb
figure6	E	Documentation layers separate installation, tutorial and report interpretation.	documentation structure cards	not applicable	figures/source_data/figure6_E_documentation_structure.tsv	4	documentation_layer,content
figure6	F	Reproducibility checks document which results can be regenerated.	checklist badges	pass/fail status	figures/source_data/figure6_F_reproducibility_checklist.tsv	4	item,status
