priority	stage	category	severity	issue	why_it_matters	exact_revision_action	required_new_analysis	required_new_figure_or_table	code_or_data_needed	status
1	Stage 3	negative_control	fatal_submission_blocker	No complete claim-type to matched-control mapping	Nature Methods reviewers will ask what each null preserves and breaks	Add formal claim taxonomy and null-ladder table for all supported claim types	No, can start from existing controls	Revise Figure 2 and add Supplementary Table claim_control_map	No	complete_round1
2	Stage 5	benchmark	fatal_submission_blocker	No synthetic or semi-synthetic truth benchmark	False-positive calibration cannot be quantified without known truth	Build simulated layouts with controlled composition, topology, blocks and planted niches	Yes	Figure 3 synthetic calibration curves	Yes	complete_after_algorithm_repair
3	Stage 4	communication	major_method_concern	LR/cell-cell communication claims are not demonstrated	Title-level spatial niche framing invites communication reviewer objections	Either add LR audit module or explicitly exclude LR from v1.0 scope	Conditional	If added, add LR control panel or Extended Data figure	Conditional	complete_excluded_v1
4	Stage 6	software	fatal_submission_blocker	No public release DOI, license or CI	Nature Methods computational reviewers expect runnable code and durable archive	Create public repo release tag, license, Zenodo DOI, CI workflow	No	Software availability table	Yes	doi_ready_license_ci_clean_env_pass_no_public_doi
5	Stage 10	figures	major_revision	Figure 2 is case-study focused rather than method-taxonomy focused	The method contribution needs a visual null/control framework	Redesign Fig. 2 around matched negative-control framework	No	Figure 2 replacement	No	partial_figure2_taxonomy_exists_needs_final_art
6	Stage 5	benchmark	major_revision	Real-data positive cell-level validation dominated by TONIC	Single primary positive cell-level layer weakens generality	Add independent positive cell-level spatial transcriptomics or imaging validation	Yes	Figure 5 or Extended Data validation panel	Yes	partial_schurch_cell_level_neighborhood_support_jackson_panoptils_next
7	Stage 6	software	major_revision	No tutorial notebook or one-command main figure reproduction	Reviewers may not reproduce claims without author help	Add tutorial notebook and scripts/run_all_figures.py	No	Supplementary reproducibility table update	Yes	partial_tutorial_and_reproduction_script_done
8	Stage 6	software	major_revision	Runtime and memory missing	Usability and scalability are part of tool-paper assessment	Run runtime/memory benchmarks for CLI and figure generation	Yes	Figure 6 panel or Supplementary Table runtime_memory	Yes	partial_smoke_profile_done_full_scaling_pending
9	Stage 2	positioning	major_revision	Article versus Analysis positioning unresolved	Editor may triage if paper seems like benchmark rather than new method	After adding synthetic benchmark, decide final article type and update cover letter	No	No	No	pending
10	Stage 11	references	major_revision	Missing LR/communication and null-model literature	Reference architecture incomplete for broad spatial claim	Add CellChat, NicheNet, LIANA/CCI benchmark, null/calibration references	No	Reference architecture table	No	pending
11	Stage 5	benchmark	major_revision	Package benchmark uses adapter-bounded endpoints for SpaceFlow	Fairness criticism likely	Explicitly label adapter scope and add native endpoint where feasible	Conditional	Figure 6 caveat annotation	Conditional	pending
12	Stage 9	writing	major_revision	Biological significance of TONIC downgrade/rescue underdeveloped	Biology reviewer needs to see why audit changes interpretation	Rewrite TONIC result around claim downgrade/rescue and manuscript language decision	No	No	No	pending
13	Stage 3	negative_control	major_revision	Distance-distribution and neighborhood-size controls missing for co-localization claims	Co-localization can be driven by abundance and neighborhood size	Add distance-matched and neighborhood-size-matched nulls	Yes	Figure 2 or Extended Data null panel	Yes	pending
14	Stage 3	negative_control	major_revision	Donor/sample matched controls limited	Multi-sample claims require donor-aware nulls	Add leave-one-sample/donor sensitivity and donor-matched shuffles where possible	Yes	Supplementary donor sensitivity table	Yes	pending
15	Stage 12	final_audit	major_revision	Data/code availability not submission-grade	Public availability statements must match actual release	Freeze data manifest and code availability text after release	No	Data and code availability section update	Yes	partial_release_metadata_and_code_text_updated_no_doi
16	Stage 1	framing	minor_revision	Title may over-imply broad spatial claim coverage	Overbroad title increases reviewer expectations	Use narrower title if LR/SVG/multi-donor claims are excluded	No	No	No	pending
17	Stage 10	figures	minor_revision	Current figures need final journal artwork polish	Figures are traceable but not final production quality	Polish typography, panel spacing, color legends and captions	No	All Figure 1-6	No	structural_production_package_pass_human_artwork_caveat
18	Stage 6	software	minor_revision	README is adequate but not full user guide	Tool papers need user guide and examples	Expand README into user guide with example outputs	No	Supplementary command table update	No	pending
19	Stage 7	reviewer_risk	minor_revision	Failed certificates may be misread as weak tool performance	Need explicitly state failed claim is desired audit output	Add explanation box: computational success versus certificate failure	No	Figure 1 or Figure 6 inset	No	pending
20	Stage 12	final_audit	minor_revision	Presubmission inquiry should precede full submission	Scope fit uncertain between Article and Analysis	Prepare concise presubmission package after blockers addressed	No	Presubmission cover letter	No	pending
