previous_claim_id	claim_id	claim_text	status	evidence_file	blocker_or_condition	allowed_manuscript_use
CLM001	CLM001	SNRA can ingest explicit TONIC tumor/stroma compartment masks	allowed	docs/SNRA_tonic_sbiad1288_full_breast_extension_v1_0.md	none	method validation
CLM002	CLM002	SNRA can merge official TONIC phenotype annotations with compartment labels	allowed	metadata/snra/snra_tonic_sbiad1288_official_phenotype_merge_qc_v1_1.tsv	none	method validation
CLM003	CLM003	TONIC original four compartments prove topology beyond composition	blocked	results/snra_phase0_10_v0_1/snra_tonic_official_phenotype_composition_controls_summary_v1_1.tsv	broad phenotype-preserving shuffle remains high	do not use as main claim
CLM004	CLM004	TONIC lineage-stratified cancer core/border boundary is certified	allowed	results/snra_phase0_10_v0_1/snra_tonic_lineage_stratified_boundary_summary_v1_2.tsv	requires lineage framing	main validation
CLM005	CLM005	TONIC lineage-stratified non-cancer stroma core/border boundary is certified	allowed	results/snra_phase0_10_v0_1/snra_tonic_lineage_stratified_boundary_summary_v1_2.tsv	requires lineage framing	main validation
CLM006	CLM006	SNRA has lower negative-control call rate than Squidpy on TONIC boundary tasks	allowed	results/snra_phase0_10_v0_1/snra_tonic_squidpy_package_benchmark_summary_v1_3.tsv	Squidpy run uses deterministic subset	tool comparison
CLM007	CLM007	SNRA has lower negative-control call rate than CellCharter on TONIC boundary tasks	allowed	results/snra_phase0_10_v0_1/snra_tonic_cellcharter_package_benchmark_summary_v1_3.tsv	CellCharter comparison is enrichment-output based; deterministic subset	tool comparison
CLM008	CLM008	SpaceFlow benchmark is complete	superseded	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	SpaceFlow now runs in Linux container only through a composition-score adapter; original Windows/CPU blocker superseded	do not cite old blocker
CLM009	CLM009	SNRA proves causal tumor-immune mechanism	blocked		descriptive spatial data only	do not claim
CLM010	CLM010	SNRA is a niche discovery method	blocked		project is an auditor, not primary discovery	method positioning
CLM011	CLM011	CRC ST pathologist spot-domain labels remain certified after coarse composition-aware null controls	allowed	results/snra_phase0_10_v0_1/snra_crc_st_composition_aware_audit_summary_v0_1.tsv	spot-level composition proxy only; not cell-level deconvolution	independent external validation
CLM012	CLM012	CRC ST composition proxy is an accurate cell proportion deconvolution	blocked	metadata/snra/snra_crc_st_spot_composition_v0_1.tsv	marker-based coarse proxy without cell-level ground truth	do not claim
CLM013	CLM013	BCC CosMx morphology is definitive independent tumor-domain validation	blocked	results/snra_phase0_10_v0_1/snra_plan_f_bcc_cosmx_morphology_composition_aware_audit_summary_v0_1.tsv	FOV-level morphology; only 2 patients; FOV-block control passes only 2/6 rows	supporting stress test only
CLM014	CLM014	Wu breast Visium spot pathological labels remain certified after coarse composition-aware null controls	allowed	results/snra_phase0_10_v0_1/snra_wu_breast_composition_aware_audit_summary_v0_1.tsv	supporting layer only because n=6 samples and spot-level marker proxy	supporting independent breast validation
CLM015	CLM015	Wu breast Visium provides main tumor-domain validation	blocked	results/snra_phase0_10_v0_1/snra_wu_breast_composition_aware_audit_summary_v0_1.tsv	only six samples; spot-level proxy composition; no cell-level phenotype table	do not claim
CLM016	CLM016	Phase G5 true containerized Squidpy/CellCharter/SpaceFlow benchmark is complete	superseded	docs/SNRA_phase_G5_container_full_benchmark_completion_v0_3.md	Docker/WSL network and container build blocker solved; see v0.3 completion audit	do not cite old blocker
CLM017	CLM017	Current-environment bounded package-level benchmark ran real Squidpy and CellCharter calls on CRC ST and Wu breast tasks	allowed_with_caveat	results\snra_phase0_10_v0_1\snra_phase_g5_package_benchmark_summary_v0_1.tsv	top 3 largest samples per dataset; 800 spots per sample; 3 permutations; not containerized; SpaceFlow missing	methods supplement / feasibility benchmark
CLM018	CLM018	SNRA globally has a lower negative-control call rate than Squidpy, CellCharter, and SpaceFlow	blocked	results\snra_phase0_10_v0_1\snra_phase_g5_package_calibration_audit_v0_1.tsv	SNRA pass rate and package positive-call rate are not the same statistic; Squidpy is conservative in TONIC simple shuffles; SpaceFlow not run	do not use as global superiority claim
CLM019	CLM019	SNRA's advantage is risk-calibrated claim auditing: it explicitly tests labels against composition-aware and spatial nulls, while package enrichment endpoints can remain positive under shuffled-label stress controls	allowed_with_caveat	docs\SNRA_phase_G5_package_level_benchmark_claim_audit_v0_1.md	claim is about calibration/auditing behavior, not domain-discovery superiority; requires full container rerun before main-text quantitative superiority	method positioning and benchmark rationale
CLM020	CLM020	Squidpy, CellCharter, or SpaceFlow are globally inferior spatial analysis tools	blocked	docs\SNRA_phase_G5_package_level_benchmark_claim_audit_v0_1.md	these packages solve broader discovery/modeling tasks and were not designed as negative-control claim auditors	do not claim
CLM021	CLM021	WSL Docker Engine is now installed and usable for SNRA container work	allowed	metadata\snra\snra_phase_g5_container_environment_attempt_v0_2.tsv	Docker service active in Ubuntu WSL2	reproducibility setup note
CLM022	CLM022	Full fixed-version containerized Squidpy/CellCharter/SpaceFlow benchmark with all samples and 99 permutations has been completed	blocked	docs\SNRA_phase_G5_container_full_benchmark_attempt_v0_2.md	container image dependency build blocked by external package-source network timeouts; no completed container run	do not claim
CLM023	CLM023	A resumable all-sample container benchmark runner for CRC ST and Wu breast is implemented	allowed_with_caveat	scripts_run_snra_container_package_benchmark_v0_2.py	runner is syntax-checked but awaits successful fixed-version image build	methods engineering supplement
CLM020	CLM024	Docker/WSL network access to Docker Hub, Debian/conda/PyPI-compatible package sources is operational through the WSL host proxy, and snra-benchmark:v0.2 builds locally	allowed	docker/snra_benchmark_v0_2/Dockerfile.micromamba_spaceflow_split	WSL host IP/proxy may change after restart; rerun docker proxy configuration script if needed	reproducibility supplement
CLM021	CLM025	Containerized full-sample package benchmark ran real Squidpy, CellCharter, and SpaceFlow calls on CRC ST and Wu breast with 99 permutations for enrichment tools	allowed_with_caveat	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	SpaceFlow endpoint is embedding-label alignment using compact composition-score features, not native neighborhood enrichment or SNRA certificate	package benchmark / methods supplement
CLM022	CLM026	Squidpy and CellCharter package enrichment endpoints show high positive-call rates under several composition-aware or spatial-block negative controls in this benchmark	allowed_with_caveat	metadata/snra/snra_phase_g5_container_package_audit_v0_3.tsv	This criticizes endpoint calibration under our stress controls, not the general validity of Squidpy or CellCharter for their intended use	benchmark interpretation
CLM023	CLM027	SpaceFlow has better within-sample label-shuffle behavior than enrichment endpoints in this adapter benchmark	allowed_with_caveat	results/snra_phase0_10_v0_1/snra_phase_g5_container_full_package_summary_v0_2.tsv	SpaceFlow comparison uses a non-native adapter and should not be framed as direct claim certificate superiority	supplementary comparator only
CLM024	CLM028	SNRA is globally superior to Squidpy, CellCharter, and SpaceFlow	blocked	metadata/snra/snra_phase_g5_container_package_audit_v0_3.tsv	Different tools have different native aims and endpoints; current evidence supports claim-calibration advantages only under defined negative-control stress tests	do not claim
