figure	title	claim	format	source_path	final_path	source_exists	copied	bytes
figure1	Problem and workflow overview	SNRA reframes spatial-omics interpretation as auditable claim calibration rather than de novo niche discovery.	pdf	figures/main/figure1_problem_workflow_overview_v3_0.pdf	figures/final_nm_v1_0/Figure1_SNRA_NatureMethods_final_v1_0.pdf	True	True	55434
figure1	Problem and workflow overview	SNRA reframes spatial-omics interpretation as auditable claim calibration rather than de novo niche discovery.	svg	figures/main/figure1_problem_workflow_overview_v3_0.svg	figures/final_nm_v1_0/Figure1_SNRA_NatureMethods_final_v1_0.svg	True	True	39834
figure1	Problem and workflow overview	SNRA reframes spatial-omics interpretation as auditable claim calibration rather than de novo niche discovery.	png	figures/main/figure1_problem_workflow_overview_v3_0.png	figures/final_nm_v1_0/Figure1_SNRA_NatureMethods_final_v1_0.png	True	True	538272
figure2	Matched negative-control taxonomy	Each spatial claim type requires controls that preserve specific nuisance structure while breaking the asserted spatial interpretation.	pdf	figures/main/figure2_matched_negative_control_taxonomy_v3_0.pdf	figures/final_nm_v1_0/Figure2_SNRA_NatureMethods_final_v1_0.pdf	True	True	86265
figure2	Matched negative-control taxonomy	Each spatial claim type requires controls that preserve specific nuisance structure while breaking the asserted spatial interpretation.	svg	figures/main/figure2_matched_negative_control_taxonomy_v3_0.svg	figures/final_nm_v1_0/Figure2_SNRA_NatureMethods_final_v1_0.svg	True	True	311873
figure2	Matched negative-control taxonomy	Each spatial claim type requires controls that preserve specific nuisance structure while breaking the asserted spatial interpretation.	png	figures/main/figure2_matched_negative_control_taxonomy_v3_0.png	figures/final_nm_v1_0/Figure2_SNRA_NatureMethods_final_v1_0.png	True	True	911154
figure3	Synthetic truth benchmark	Strict matched-control certificates block known confounded-null artifacts while retaining sensitivity to planted spatial domains.	pdf	figures/main/figure3_synthetic_benchmark_v3_0.pdf	figures/final_nm_v1_0/Figure3_SNRA_NatureMethods_final_v1_0.pdf	True	True	88822
figure3	Synthetic truth benchmark	Strict matched-control certificates block known confounded-null artifacts while retaining sensitivity to planted spatial domains.	svg	figures/main/figure3_synthetic_benchmark_v3_0.svg	figures/final_nm_v1_0/Figure3_SNRA_NatureMethods_final_v1_0.svg	True	True	360611
figure3	Synthetic truth benchmark	Strict matched-control certificates block known confounded-null artifacts while retaining sensitivity to planted spatial domains.	png	figures/main/figure3_synthetic_benchmark_v3_0.png	figures/final_nm_v1_0/Figure3_SNRA_NatureMethods_final_v1_0.png	True	True	938477
figure4	Real-data cross-platform benchmark	SNRA provides cross-platform claim calibration across available spot-level and cell-level spatial omics audit layers.	pdf	figures/main/figure4_real_data_cross_platform_benchmark_v3_0.pdf	figures/final_nm_v1_0/Figure4_SNRA_NatureMethods_final_v1_0.pdf	True	True	59541
figure4	Real-data cross-platform benchmark	SNRA provides cross-platform claim calibration across available spot-level and cell-level spatial omics audit layers.	svg	figures/main/figure4_real_data_cross_platform_benchmark_v3_0.svg	figures/final_nm_v1_0/Figure4_SNRA_NatureMethods_final_v1_0.svg	True	True	71145
figure4	Real-data cross-platform benchmark	SNRA provides cross-platform claim calibration across available spot-level and cell-level spatial omics audit layers.	png	figures/main/figure4_real_data_cross_platform_benchmark_v3_0.png	figures/final_nm_v1_0/Figure4_SNRA_NatureMethods_final_v1_0.png	True	True	485982
figure5	Biological case study	Matched controls separate a rescued lineage-stratified boundary claim from claims that fail block or package-stress controls.	pdf	figures/main/figure5_biological_case_study_v3_0.pdf	figures/final_nm_v1_0/Figure5_SNRA_NatureMethods_final_v1_0.pdf	True	True	126169
figure5	Biological case study	Matched controls separate a rescued lineage-stratified boundary claim from claims that fail block or package-stress controls.	svg	figures/main/figure5_biological_case_study_v3_0.svg	figures/final_nm_v1_0/Figure5_SNRA_NatureMethods_final_v1_0.svg	True	True	779643
figure5	Biological case study	Matched controls separate a rescued lineage-stratified boundary claim from claims that fail block or package-stress controls.	png	figures/main/figure5_biological_case_study_v3_0.png	figures/final_nm_v1_0/Figure5_SNRA_NatureMethods_final_v1_0.png	True	True	1016284
figure6	Software and reproducibility	The package exposes a manifest-driven audit workflow with source tables, audit cards and clean-env reproducibility checks.	pdf	figures/main/figure6_software_reproducibility_v3_0.pdf	figures/final_nm_v1_0/Figure6_SNRA_NatureMethods_final_v1_0.pdf	True	True	55391
figure6	Software and reproducibility	The package exposes a manifest-driven audit workflow with source tables, audit cards and clean-env reproducibility checks.	svg	figures/main/figure6_software_reproducibility_v3_0.svg	figures/final_nm_v1_0/Figure6_SNRA_NatureMethods_final_v1_0.svg	True	True	42168
figure6	Software and reproducibility	The package exposes a manifest-driven audit workflow with source tables, audit cards and clean-env reproducibility checks.	png	figures/main/figure6_software_reproducibility_v3_0.png	figures/final_nm_v1_0/Figure6_SNRA_NatureMethods_final_v1_0.png	True	True	528775
